"patch_path","chromium_path","message_id","ownership","destination","translation_strategy","notes"
"overlay","chrome/app/thorium_strings.grdp","IDS_ALTERNATE_HOME_PAGE","overlay_added_file","keep_in_overlay_added_file","english_source_fallback","Thorium-added source message has no reviewed XTB translation."
"overlay","chrome/app/thorium_strings.grdp","IDS_RESTORE_TAB_BUTTON_NAME","overlay_added_file","keep_in_overlay_added_file","english_source_fallback","Thorium-added source message has no reviewed XTB translation."
"overlay","chrome/app/thorium_strings.grdp","IDS_RESTORE_TAB_BUTTON_TOOLTIP","overlay_added_file","keep_in_overlay_added_file","english_source_fallback","Thorium-added source message has no reviewed XTB translation."
"thorium/external_temp/Enable-Global-Privacy-Control.patch","chrome/app/settings_strings.grdp","IDS_SETTINGS_ENABLE_GPC","feature_patch","keep_in_feature_patch","english_source_fallback","Reference implementation from cromite; no reviewed XTB translation was found."
"thorium/external_temp/Enable-Global-Privacy-Control.patch","chrome/app/settings_strings.grdp","IDS_SETTINGS_ENABLE_GPC_DIALOG_TEXT","feature_patch","keep_in_feature_patch","english_source_fallback","No reviewed XTB translation was found; state-specific legal explanation requires separate content review."
"thorium/external_temp/Enable-Global-Privacy-Control.patch","chrome/app/settings_strings.grdp","IDS_SETTINGS_ENABLE_GPC_DIALOG_TITLE","feature_patch","keep_in_feature_patch","english_source_fallback","Reference implementation from cromite; no reviewed XTB translation was found."
"thorium/external_temp/Enable-Global-Privacy-Control.patch","chrome/browser/ui/android/strings/android_chrome_strings.grd","IDS_GPC_DESCRIPTION","feature_patch","keep_in_feature_patch","english_source_fallback","No reviewed XTB translation was found; state-specific legal explanation requires separate content review."
"thorium/external_temp/Enable-Global-Privacy-Control.patch","chrome/browser/ui/android/strings/android_chrome_strings.grd","IDS_GPC_TITLE","feature_patch","keep_in_feature_patch","english_source_fallback","Reference implementation from cromite; no reviewed XTB translation was found."
"thorium/original/ftp-support-thorium.patch","chrome/app/generated_resources.grd","IDS_DIRECTORY_LISTING_PARSING_ERROR_BOX_TEXT","feature_patch","keep_in_feature_patch","xtb_additions_with_english_fallback","Recovered 80 official Chromium translations from Git revision 1cf8d153a4d17536f322ab8cf0046396e10c2a08; Welsh uses English source."
"thorium/original/open_in_same_tab.patch","chrome/app/generated_resources.grd","IDS_CONTENT_CONTEXT_OPENLINKSAMETAB","feature_patch","keep_in_feature_patch","xtb_additions_with_english_fallback","Two conditional definitions use separate IDs; uncovered locales intentionally use English source."
"thorium/original/restore_download_shelf.patch","chrome/app/generated_resources.grd","IDS_ACCNAME_DOWNLOADS_BAR","feature_patch","keep_in_feature_patch","english_source_fallback","Auto-detected from current patch series; review translation strategy before relying on localized output."
"thorium/original/restore_download_shelf.patch","chrome/app/generated_resources.grd","IDS_DEEP_SCANNING_INFO_DIALOG_MESSAGE","feature_patch","keep_in_feature_patch","xtb_additions_complete","Recovered 81 official Chromium translations from Git revision 0f3bbb229ab1499759ea9760a4b58f25b911572b before download-shelf removal."
"thorium/original/restore_download_shelf.patch","chrome/app/generated_resources.grd","IDS_DEEP_SCANNING_DIALOG_OPEN_NOW_ACCEPT_BUTTON","feature_patch","keep_in_feature_patch","reuse_existing_upstream_id","Exact GRIT ID exists in all 81 mapped M150 XTB files."
"thorium/original/restore_download_shelf.patch","chrome/app/generated_resources.grd","IDS_DEEP_SCANNING_DIALOG_OPEN_NOW_MESSAGE","feature_patch","keep_in_feature_patch","xtb_additions_complete","Recovered 81 official Chromium translations from Git revision 0f3bbb229ab1499759ea9760a4b58f25b911572b before download-shelf removal."
"thorium/original/restore_download_shelf.patch","chrome/app/generated_resources.grd","IDS_DEEP_SCANNING_DIALOG_OPEN_NOW_TITLE","feature_patch","keep_in_feature_patch","xtb_additions_complete","Recovered 81 official Chromium translations from Git revision 0f3bbb229ab1499759ea9760a4b58f25b911572b before download-shelf removal."
"thorium/original/restore_download_shelf.patch","chrome/app/generated_resources.grd","IDS_DEEP_SCANNING_INFO_DIALOG_ACCEPT_BUTTON","feature_patch","keep_in_feature_patch","reuse_existing_upstream_id","Exact GRIT ID exists in all 81 mapped M150 XTB files."
"thorium/original/restore_download_shelf.patch","chrome/app/generated_resources.grd","IDS_DEEP_SCANNING_INFO_DIALOG_CANCEL_BUTTON","feature_patch","keep_in_feature_patch","reuse_existing_upstream_id","Exact GRIT ID exists in all 81 mapped M150 XTB files."
"thorium/original/restore_download_shelf.patch","chrome/app/generated_resources.grd","IDS_DEEP_SCANNING_INFO_DIALOG_MESSAGE","feature_patch","keep_in_feature_patch","english_source_fallback","Auto-detected from current patch series; review translation strategy before relying on localized output."
"thorium/original/restore_download_shelf.patch","chrome/app/generated_resources.grd","IDS_DEEP_SCANNING_INFO_DIALOG_OPEN_NOW_BUTTON","feature_patch","keep_in_feature_patch","reuse_existing_upstream_id","Exact GRIT ID exists in all 81 mapped M150 XTB files."
"thorium/original/restore_download_shelf.patch","chrome/app/generated_resources.grd","IDS_DEEP_SCANNING_INFO_DIALOG_TITLE","feature_patch","keep_in_feature_patch","reuse_existing_upstream_id","Exact GRIT ID exists in all 81 mapped M150 XTB files."
"thorium/original/restore_download_shelf.patch","chrome/app/generated_resources.grd","IDS_DOWNLOAD_ITEM_DROPDOWN_BUTTON_ACCESSIBLE_TEXT","feature_patch","keep_in_feature_patch","xtb_additions_complete","Recovered 81 official Chromium translations from Git revision 0f3bbb229ab1499759ea9760a4b58f25b911572b before download-shelf removal."
"thorium/original/restore_download_shelf.patch","chrome/app/generated_resources.grd","IDS_DOWNLOAD_STATUS_OPENING","feature_patch","keep_in_feature_patch","xtb_additions_complete","Recovered 81 official Chromium translations from Git revision 0f3bbb229ab1499759ea9760a4b58f25b911572b before download-shelf removal."
"thorium/original/restore_download_shelf.patch","chrome/app/generated_resources.grd","IDS_PROMPT_DEEP_SCANNING_DOWNLOAD","feature_patch","keep_in_feature_patch","xtb_additions_complete","Recovered 81 official Chromium translations from Git revision 0f3bbb229ab1499759ea9760a4b58f25b911572b before download-shelf removal."
"thorium/original/restore_download_shelf.patch","chrome/app/generated_resources.grd","IDS_PROMPT_DEEP_SCANNING_DOWNLOAD_SHORT","feature_patch","keep_in_feature_patch","xtb_additions_complete","Recovered 81 official Chromium translations from Git revision 0f3bbb229ab1499759ea9760a4b58f25b911572b before download-shelf removal."
"thorium/original/restore_download_shelf.patch","chrome/app/generated_resources.grd","IDS_PROMPT_DOWNLOAD_DEEP_SCANNED_SAFE","feature_patch","keep_in_feature_patch","xtb_additions_complete","Recovered 81 official Chromium translations from Git revision 0f3bbb229ab1499759ea9760a4b58f25b911572b before download-shelf removal."
"thorium/original/restore_download_shelf.patch","chrome/app/generated_resources.grd","IDS_SHOW_ALL_DOWNLOADS","feature_patch","keep_in_feature_patch","english_source_fallback","Auto-detected from current patch series; review translation strategy before relying on localized output."
"thorium/original/add-quick-extension-toggle-menu.patch","chrome/app/generated_resources.grd","IDS_EXTENSIONS_MENU_QUICK_TOGGLE_SECTION_TITLE","feature_patch","keep_in_feature_patch","xtb_additions_complete","Quick toggle section title; XTB locale translations adapted from upstream thorium."
"thorium/original/add-quick-extension-toggle-menu.patch","chrome/app/generated_resources.grd","IDS_EXTENSIONS_MENU_QUICK_TOGGLE_ALL_EXTENSIONS","feature_patch","keep_in_feature_patch","xtb_additions_complete","Quick toggle master switch label; XTB locale translations adapted from upstream thorium."
